compound1,compound2,hydrogen_donor,hydrogen_acceptor,Drug1,molecular_weight (in g/mol) / DA
Ibuprofen,Famotidine,3,1,Duexis,586.6
Esomeprazole,Naproxen,2,6,Vimovo,575.7
Sitagliptin,Metformin,1,4,Janumet,536.5
Glyburide,Metformin,1,3,Glucovance,623.2
Amlodipine,Olmesartan,0,5,Azor,408.88
Losartan,Hydrochlorothiazide,1,7,Hyzaar,435.4
Chlorthalidone,Hydrochlorothiazide,2,5,Clorpres,394.9
Metformin,Sitagliptin,2,6,Janumet,536.5
Empagliflozin,Metformin,2,4,Synjardy,587.7
Rivaroxaban,Aspirin,3,4,Xarelto with Aspirin,638.2
Sacubitril,Valsartan,4,4,Entresto,603.8
Ceftazidime,Avibactam,0,5,Avycaz,907.2
Ampicillin,Sulbactam,1,3,Unasyn,597.6
Glycopyrrolate,Formoterol,1,5,Bevespi Aerosphere,545.7
Amlodipine,Perindopril,2,6,Prestalia,777.6
Bisoprolol,Hydrochlorothiazide,0,5,Ziac,291.1
Valsartan,Amlodipine,2,4,Exforge,579.9
Perindopril,Amlodipine,0,5,Prestalia,777.6
Trandolapril,Verapamil,1,6,Tarka,661.9
Telmisartan,Hydrochlorothiazide,1,7,Micardis HCT,833.6
Clopidogrel,Aspirin,1,5,Clopidogrel with Aspirin,481.9
Ramipril,Hydrochlorothiazide,1,4,Altace HCT,478.5
Olmesartan,Hydrochlorothiazide,1,5,Benicar HCT,636.4
Propranolol,Hydrochlorothiazide,2,6,Inderide,557
Atorvastatin,Ezetimibe,1,4,Liptruzet,1618.8
Fosinopril,Hydrochlorothiazide,4,5,Monopril HCT,502.6
Methyldopa,Hydrochlorothiazide,2,4,Aldoril,377.8
Amiloride,Hydrochlorothiazide,1,5,Moduretic,491.5
Aspirin,Dipyridamole,0,4,Aggrenox,684.7
Niacin,Simvastatin,0,5,Simcor,797
Naltrexone,Bupropion,1,4,Contrave,596.7
Bupropion,Naltrexone,2,5,Contrave,596.7
Vildagliptin,Metformin,0,4,Galvus Met,129.96
Empagliflozin,Metformin,2,5,Synjardy,587.7
Ergotamine,Caffeine,0,4,Cafergot,264.3
Paracetamol,Codeine,0,5,Co-Codamol,378.4
Butalbital,Aspirin,1,2,Fiorinal,394.4
Buprenorphine,Naloxone,1,4,Suboxone,795
Fentanyl,Droperidol,1,5,Innovar,417.5
Carisoprodol,Aspirin,4,4,Soma Compound,542.5
Hydroxychloroquine,Sulfapyridine,4,3,Plaquenil,433.3
Sulfamethoxazole,Trimethoprim,0,5,Bactrim,249.3
Trimethoprim,Sulfamethoxazole,3,3,Septra,249.3
Ciprofloxacin,Dexamethasone,2,5,CiproDex,421.3
Phenylalanine,Aspartic acid,0,3,Aspartame,294.29
Dopamine,Tyrosine,1,4,Norepinephrine,169.18
Paracetamol,Phenylephrine,3,3,Percogesic,448.55
Codeine,Acetaminophen,2,4,Tylenol with Codeine,500
Amoxicillin,Clavulanic Acid,1,4,Augmentin,601.51
Levodopa,Carbidopa,1,7,Sinemet,430.33
Glimepiride,Metformin Hydrochloride,0,4,Amaryl M,614.76
Glipizide,Metformin Hydrochloride,1,12,Metaglip,614.76
Tolmetin Sodium,Magnesium Stearate,2,3,Tolmetin,276.28
Rosiglitazone,Metformin Hydrochloride,2,10,Avandamet,569.69
Pioglitazone,Metformin Hydrochloride,2,7,Actoplus Met,551.48
Sitagliptin,Metformin Hydrochloride,3,2,Janumet,551.48
Saxagliptin,Metformin,4,2,Kombiglyze XR,551.48
Linagliptin,Metformin,0,1,Jentadueto,551.48
Alogliptin,Metformin,1,9,Kazano,572.48
Alendronate,Cholecalciferol,1,5,Fosamax Plus D,550.51
Risedronate,Calcium carbonate,2,3,Actonel with Calcium,831.55
Zoledronic acid,Alendronic acid,0,6,Reclast,355.18
Ibandronate,Cholecalciferol,2,5,Boniva,270.22
Atazanavir,Cobicistat,0,6,Evotaz,1182.42
Darunavir,Ritonavir,1,5,Prezista,527.71
Efavirenz,Tenofovir,1,7,Atripla,751.85
Nevirapine,Emtricitabine,1,6,Viramune,266.25
Etravirine,Tenofovir,1,5,Intelence,553.24
Rilpivirine,Tenofovir,1,7,Edurant,540.69
Elvitegravir,Cobicistat,2,8,Stribild,1049.36
Dolutegravir,Abacavir,1,5,Triumeq,772.73
Raltegravir,Emtricitabine,4,4,Isentress,472.43
Emtricitabine,Tenofovir,2,3,Truvada,487.48
Tenofovir,Tenofovir,1,6,Descovy,554.55
Lamivudine,Emtricitabine,0,3,Epivir,229.21
Stavudine,Lamivudine,0,7,Zerit,227.23
Zidovudine,Lamivudine,1,2,Retrovir,227.23
Abacavir,Lamivudine,2,5,Ziagen,285.28
Didanosine,Lamivudine,0,6,Videx,268.23
Enalapril,Hydrochlorothiazide,2,4,Vaseretic,613.76
Lisinopril,Hydrochlorothiazide,0,5,Zestoretic,613.76
Quinapril,Hydrochlorothiazide,0,6,Accuretic,613.76
Perindopril,Hydrochlorothiazide,1,1,Prestalia,613.76
Ramipril,Hydrochlorothiazide,1,4,Altace HCT,613.76
Telmisartan,Amlodipine,1,5,Twynsta,613.76
Eprosartan,Hydrochlorothiazide,4,3,Teveten HCT,613.76
Irbesartan,Hydrochlorothiazide,4,4,Avalide,613.76
Candesartan,Hydrochlorothiazide,0,5,Atacand HCT,277.73
Valsartan,Hydrochlorothiazide,3,5,Diovan HCT,317.37
Olmesartan,Hydrochlorothiazide,2,2,Benicar HCT,222.71
Clonidine,Chlorthalidone,0,4,Clorpres,344.94
Methyldopa,Hydrochlorothiazide,1,5,Aldoril,
Guanfacine,Hydrochlorothiazide,3,6,Tenex,
Hydralazine,Hydrochlorothiazide,2,1,Apresoline HCT,
Ethinyl estradiol,Norethindrone,1,3,Ortho-Novum,345.39
Levonorgestrel,Ethinyl estradiol,1,4,Alesse,295.39
Drospirenone,Ethinyl estradiol,0,5,Yasmin,335.43
Norgestimate,Ethinyl estradiol,1,4,Ortho Tri-Cyclen,529.5
Desogestrel,Ethinyl estradiol,2,4,Mircette,367.44
Medroxyprogesterone,Ethinyl estradiol,2,5,Depo-Provera,447.51
Estradiol,Norethindrone,2,4,Estrace,272.38
Progesterone,Norethindrone,3,4,Prometrium,316.43
Testosterone,Estradiol,4,4,AndroGel,286.42
Finasteride,Dutasteride,0,4,Propecia,489.7
Dutasteride,Finasteride,1,5,Avodart,528.5
Sildenafil,Tadalafil,1,7,sildenafil ,474.55
Tadalafil,Sildenafil,2,1,Cialis,389.34
Vardenafil,Sildenafil,0,6,Levitra,474.55
Avanafil,Sildenafil,2,4,Stendra,389.37
Rivaroxaban,Apixaban,0,3,Xarelto,430.9
Apixaban,Rivaroxaban,1,5,Eliquis,459.38
Edoxaban,Rivaroxaban,1,7,Savaysa,501.56
Betrixaban,Rivaroxaban,1,5,Bevyxxa,472.57
Dabigatran,Rivaroxaban,1,6,Pradaxa,427.37
Warfarin,Enoxaparin,1,4,Coumadin,308.31
Enoxaparin,Warfarin,2,4,Lovenox,1750
Dalteparin,Warfarin,1,4,Fragmin,5500
Fondaparinux,Warfarin,4,5,Arixtra,2000
Anastrozole,Tamoxifen,2,3,Arimidex,262.28
Letrozole,Tamoxifen,1,5,Femara,297.31
Exemestane,Tamoxifen,0,6,Aromasin,293.31
Tamoxifen,Letrozole,0,5,Nolvadex,263.27
Raloxifene,Letrozole,1,4,Evista,473.58
Fulvestrant,Letrozole,2,5,Faslodex,1027.29
Ibandronate,Zoledronic acid,0,6,Boniva,270.22
Zoledronic acid,Ibandronate,2,7,Reclast,355.18
Alendronic acid,Risedronate,0,5,Fosamax,550.51
Risedronate,Alendronic acid,0,4,Actonel,831.55
Teriparatide,Abaloparatide,1,5,Forteo,3271.72
Abaloparatide,Teriparatide,1,6,Tymlos,2475.66
Denosumab,Teriparatide,1,4,Prolia,1480.72
Romosozumab,Denosumab,4,5,Evenity,1346.82
Calcitonin,Denosumab,4,4,Miacalcin,1740.19
Strontium ranelate,Denosumab,0,5,Protelos,2078.27
Insulin glargine,Insulin aspart,3,4,Lantus,6061.12
Insulin detemir,Insulin glargine,2,5,Levemir,6075.37
Insulin aspart,Insulin glulisine,0,4,NovoLog,1156.62
Insulin lispro,Insulin lispro,1,5,Humalog,730.83
Insulin glulisine,Insulin aspart,3,4,Apidra,670.75
Insulin degludec,Insulin glargine,2,5,Tresiba,5517.5
Exenatide,Liraglutide,1,4,Byetta,4182.56
Liraglutide,Exenatide,1,5,Victoza,3750.45
Dulaglutide,Exenatide,0,2,Trulicity,2882.54
Semaglutide,Exenatide,1,4,Ozempic,1742.93
Albiglutide,Exenatide,2,5,Tanzeum,67000
Pramlintide,Liraglutide,2,4,Symlin,3949.4
Acarbose,Miglitol,2,3,Precose,645.6
Miglitol,Acarbose,3,5,Glyset,207.2
Saxagliptin,Sitagliptin,4,3,Onglyza,315.4
Sitagliptin,Saxagliptin,0,5,Januvia,407.32
Linagliptin,Saxagliptin,1,3,Tradjenta,472.54
Alogliptin,Saxagliptin,1,4,Nesina,339.39
Canagliflozin,Dapagliflozin,2,3,Invokana,444.52
Dapagliflozin,Canagliflozin,0,4,Farxiga,408.87
Empagliflozin,Canagliflozin,2,4,Jardiance,450.91
Ertugliflozin,Canagliflozin,0,7,Steglatro,436.54
Colesevelam,Ezetimibe,1,4,Welchol,400
Ezetimibe,Colesevelam,1,12,Zetia,409.36
Alirocumab,Colesevelam,1,3,Praluent,146000
Evolocumab,Colesevelam,1,10,Repatha,143000
Inclisiran,Colesevelam,1,7,Leqvio,145.18
Lomitapide,Colesevelam,2,2,Juxtapid,693.9
Mipomersen,Colesevelam,1,2,Kynamro,7596.91
Bezafibrate,Fenofibrate,4,1,Bezalip,361.83
Fenofibrate,Gemfibrozil,2,9,TriCor,360.83
Gemfibrozil,Fenofibrate,1,5,Lopid,250.34
Bempedoic acid,Fenofibrate,0,3,Nexletol,344.24
Omega-3-acid ethyl esters,Fenofibrate,0,6,Lovaza,200
Niacin,Fenofibrate,1,5,Niaspan,123.11
Acetylcysteine,Guaifenesin,2,6,Mucomyst,163.19
Carbocysteine,Guaifenesin,0,5,Mucodyne,179.22
Guaifenesin,Dextromethorphan,2,7,Mucinex,198.22
Dextromethorphan,Guaifenesin,0,6,Delsym,271.4
Benzonatate,Guaifenesin,0,5,Tessalon Perles,603.7
Phenylephrine,Guaifenesin,1,7,Sudafed,165.23
Pseudoephedrine,Guaifenesin,1,8,Sudafed PE,167.21
Oxymetazoline,Guaifenesin,1,5,Afrin,305.35
Xylometazoline,Guaifenesin,4,4,Otrivin,264.4
Ipratropium,Albuterol,4,3,Atrovent,332.46
Tiotropium,Albuterol,0,6,Spiriva,472.56
Glycopyrrolate,Albuterol,3,3,Seebri,398.46
Aclidinium,Albuterol,0,7,Tudorza,484.98
Umeclidinium,Albuterol,1,2,Incruse,428.98
Indacaterol,Tiotropium,3,5,Arcapta,392.5
Olodaterol,Tiotropium,2,6,Striverdi,386.48
Vilanterol,Tiotropium,1,4,Anoro Ellipta,902.58
Formoterol,Tiotropium,1,5,Symbicort,774.94
Salmeterol,Tiotropium,0,6,Advair,916.1
Fluticasone,Salmeterol,1,1,Flovent,500.6
Budesonide,Salmeterol,2,4,Pulmicort,430.54
Mometasone,Salmeterol,2,5,Asmanex,521.44
Ciclesonide,Salmeterol,2,3,Alvesco,540.69
Beclometasone,Salmeterol,3,4,Qvar,408.9
Triamcinolone,Propylene Glycol,4,5,Azmacort,434.5
Rivaroxaban,Microcrystalline Cellulose,0,5,Rivaroxaban,435.89
"Dabigatran Etexilate Mesylate
",Tartaric Acid,1,2,Dabigatran,627.75
Edoxaban Tosylate Monohydrate,Mannitol,1,4,Edoxaban,548.06
"Betrixaban
","
Hydroxypropyl Methylcellulose
",2,5,Betrixaban,456.38
Albiglutide,Sodium Phosphate,0,6,Albiglutide,67000
Ertugliflozin,Magnesium Stearate,2,1,Ertugliflozin,436.54
Semaglutide,Sodium Chloride,0,3,Semaglutide,4113.58
Liraglutide,"
Disodium Phosphate Dihydrate",1,4,Liraglutide,3751.2
Empagliflozin,Colloidal Silicon Dioxide,1,5,Empagliflozin,450.91
Dulaglutide,Citric Acid Monohydrate,1,4,Dulaglutide,59000
Ticagrelor,Mannitol,1,4,Ticagrelor,522.57
Vorapaxar Sulfate,Microcrystalline Cellulose,1,5,Vorapaxar,492.63
Cangrelor,Sodium Chloride,2,4,Cangrelor,774.73
Sacubitril,Valsartan,1,4,Sacubitril/valsartan,908.04
Ivabradine Hydrochloride,Colloidal Silicon Dioxide,4,4,Ivabradine,468.6
Secukinumab,Sucrose,2,4,Secukinumab,147000
Ustekinumab,L-Histidine,1,5,Ustekinumab,148000
Ixekizumab,Polysorbate 80,0,7,Ixekizumab,146000
Guselkumab,L-Histidine Monohydrochloride,0,1,Guselkumab,149000
Brodalumab,Acetate,1,6,Brodalumab,150000
Evolocumab,Proline,2,4,Evolocumab,143000
Alirocumab,Sucrose,0,3,Alirocumab,146000
Bempedoic Acid,Microcrystalline Cellulose,2,5,Bempedoic acid,344.24
Inclisiran,Sodium Chloride,0,7,Inclisiran,145.18
Lomitapide,Microsomal Triglyceride Transfer Protein Inhibitor,0,5,Lomitapide,693.9
Mipomersen,Antisense Oligonucleotide,1,6,Mipomersen,7596.91
Belatacept,Fusion Protein,1,4,Belatacept,82000
Belimumab,Monoclonal Antibody,1,4,Belimumab,147000
Dupilumab,Monoclonal Antibody,4,4,Dupilumab,147000
Omalizumab,Monoclonal Antibody,4,5,Omalizumab,149000
Mepolizumab,Monoclonal Antibody,0,3,Mepolizumab,149000
Reslizumab,Monoclonal Antibody,3,5,Reslizumab,144000
Benralizumab,Monoclonal Antibody,2,6,Benralizumab,149000
Tezepelumab,Monoclonal Antibody,0,5,Tezepelumab,149000
Aflibercept,Recombinant Protein,1,4,Aflibercept,115000
Ranibizumab,Recombinant Protein,3,5,Ranibizumab,48000
Brolucizumab,Recombinant Protein,2,6,Brolucizumab,26000
Faricimab,Recombinant Protein,1,7,Faricimab,144000
Conbercept,Recombinant Protein,1,5,Conbercept,50000
Apremilast,Phosphodiesterase 4 Inhibitor,0,4,Apremilast,460.51
Tofacitinib,Janus Kinase Inhibitor,1,5,Tofacitinib,312.37
Baricitinib,Janus Kinase Inhibitor,2,6,Baricitinib,371.43
Upadacitinib,Janus Kinase Inhibitor,2,4,Upadacitinib,440.51
Filgotinib,Janus Kinase Inhibitor,2,5,Filgotinib,300.34
Leflunomide,Disease-Modifying Antirheumatic Drug,3,4,Leflunomide,270.2
Tozinameran,mRNA Vaccine,4,5,Tozinameran,100000
Elasomeran,mRNA Vaccine,0,4,Elasomeran,100000
ChAdOx1 nCoV-19,Viral Vector Vaccine,1,5,ChAdOx1 nCoV-19,100000
Ad26.COV2.S,Antiviral Combination,1,4,Ad26.COV2.S,100000
Nirmatrelvir,Antiviral Combination,2,5,Paxlovid,921.9
N-hydroxycytidine,Molnupiravir,0,4,Molnupiravir,329.3
Triphosphate,Remdesivir,2,5,Remdesivir,602.6
Pyrazinecarboxamide,Favipiravir,0,4,Favipiravir,157.1
Monoclonal Antibody,Recombinant Antibody,1,5,Sotrovimab,149000
Monoclonal Antibody,Recombinant Antibody,1,2,Casirivimab/imdevimab,292000
Monoclonal Antibody,Recombinant Antibody,1,4,Bamlanivimab/etesevimab,292000
Janus Kinase Inhibitor,Baricitinib,1,5,Baricitinib,371.43
Interleukin-6 Inhibitor,Tocilizumab,1,4,Tocilizumab,148000
Interleukin-1 Inhibitor,Anakinra,2,3,Anakinra,17300
Interleukin-6 Inhibitor,Sarilumab,1,5,Sarilumab,150000
CCR5 Antagonist,Leronlimab,4,3,Leronlimab,149000
Antiviral Agent,Ivermectin,2,5,Ivermectin,875.1
Antimalarial Agent,Hydroxychloroquine,1,3,Hydroxychloroquine,335.87
Antimalarial Agent,Chloroquine,0,4,Chloroquine,319.87
Antimalarial Agent,Nitazoxanide,0,3,Nitazoxanide,307.28
Nucleoside Analog,Azvudine,1,4,Azvudine,267.27
Antibiotic,Lefamulin,2,4,Lefamulin,586.7
Antibiotic,Omadacycline,0,7,Omadacycline,713.85
Antibiotic,Eravacycline,2,4,Eravacycline,492.55
Antibiotic,Plazomicin,0,12,Plazomicin,908
Antibiotic,Cefiderocol,0,3,Cefiderocol,749.72
Antibiotic,Delafloxacin,1,10,Delafloxacin,440.85
Antibiotic,Solithromycin,1,7,Solithromycin,845.05
Antibiotic,Finafloxacin,1,2,Finafloxacin,370.79
Antibiotic,Zoliflodacin,4,2,Zoliflodacin,438.4
Beta-lactamase Inhibitor,Avibactam,4,1,Ceftazidime/avibactam,986
Beta-lactam Antibiotic,Vaborbactam,0,9,Meropenem/vaborbactam,680.76
Beta-lactam Antibiotic,Relebactam,3,5,Imipenem/relebactam,848.95
Beta-lactam Antibiotic,Zidebactam,2,3,Cefepime/zidebactam,790.78
Beta-lactam Antibiotic,Taniborbactam,0,6,Cefepime/taniborbactam,790.78
Oxazolidinone Antibiotic,Tedizolid,1,5,Tedizolid,450.5
Glycopeptide Antibiotic,Oritavancin,3,6,Oritavancin,1793.64
Glycopeptide Antibiotic,Dalbavancin,2,5,Dalbavancin,1816.71
Glycopeptide Antibiotic,Telavancin,1,7,Telavancin,1755.63
Diarylquinoline Antibiotic,lefamulin,1,6,Lefamulin,586.7
Diarylquinoline Antibiotic,pretomanid,0,5,Pretomanid,359.27
Diarylquinoline Antibiotic,bedaquiline,1,7,Bedaquiline,555.5
Diarylquinoline Antibiotic,Delamanid,2,8,Delamanid,534.5
Oxazolidinone Antibiotic,Sutezolid,2,5,Sutezolid,453.5
Triazole Antifungal,Linezolid,2,4,Linezolid,337.35
Triazole Antifungal,Posaconazole,3,3,Tedizolid,450.5
Triazole Antifungal,Isavuconazonium sulfate,4,6,Posaconazole,700.8
Echinocandin Antifungal,Voriconazole,0,3,Isavuconazonium sulfate,814.79
Azole Antifungal,Echinocandins,1,7,Voriconazole,349.31
Oxaborole Antifungal,Luliconazole,1,2,Echinocandins,50000
Azole Antifungal,Tavaborole,2,5,Luliconazole,354.27
Monoclonal Antibody,Efinaconazole,0,6,Tavaborole,201.05
Monoclonal Antibody,Omalizumab,2,4,Efinaconazole,348.3
Monoclonal Antibody,Dupilumab,0,5,Omalizumab,149000
Monoclonal Antibody,dupilumab,1,6,Dupilumab,147000
Tylenol,Paracetamol,1,1,Acetaminophen,151.16
Zovirax,Acyclovir,1,4,Acyclovir,225.21
"Ventolin, Proventil",Albuterol,1,5,Albuterol,239.31
Zyloprim,Allopurinol,1,3,Allopurinol,136.11
Xanax,Alprazolam,2,4,Alprazolam,308.77
Amikin,Amikacin,1,5,Amikacin,585.6
"Cordarone, Pacerone",Amiodarone,4,5,Amiodarone,645.32
Elavil,Amitriptyline,2,2,Amitriptyline,277.4
Norvasc,Amlodipine,1,4,Amlodipine,408.87
Amoxil,Amoxicillin,0,5,Amoxicillin,365.41
Fungizone,Amphotericin B,0,6,Amphotericin B,924.1
Omnipen,Ampicillin,1,1,Ampicillin,349.41
Kineret,Anakinra,2,3,Anakinra,17300
Tenormin,Atenolol,0,4,Atenolol,266.34
Strattera,Atomoxetine,2,5,Atomoxetine,255.36
Lipitor,Atorvastatin,0,4,Atorvastatin,558.64
Zithromax,Azithromycin,0,4,Azithromycin,748.98
Lioresal,Baclofen,1,5,Baclofen,213.66
Qvar,Beclometasone,1,4,Beclometasone,408.91
Lotensin,Benazepril,1,4,Benazepril,424.5
Casodex,Bicalutamide,4,4,Bicalutamide,430.37
Zebeta,Bisoprolol,4,4,Bisoprolol,325.44
"Pulmicort, Entocort",Budesonide,0,5,Budesonide,430.54
"Wellbutrin, Zyban",Bupropion,3,7,Bupropion,239.74
Myleran,Busulfan,2,1,Busulfan,246.31
Capoten,Captopril,0,6,Captopril,217.29
Tegretol,Carbamazepine,1,4,Carbamazepine,236.27
Coreg,Carvedilol,3,3,Carvedilol,406.48
Ceclor,Cefaclor,2,5,Cefaclor,367.81
Duricef,Cefadroxil,1,7,Cefadroxil,381.37
Ancef,Cefazolin,1,5,Cefazolin,454.5
Omnicef,Cefdinir,0,6,Cefdinir,395.41
Maxipime,Cefepime,1,4,Cefepime,480.5
Suprax,Cefixime,2,4,Cefixime,453.45
Claforan,Cefotaxime,2,4,Cefotaxime,455.5
Cefotan,Cefotetan,2,5,Cefotetan,575.61
Mefoxin,Cefoxitin,3,3,Cefoxitin,427.45
Fortaz,Ceftazidime,4,5,Ceftazidime,636.6
Rocephin,Ceftriaxone,0,6,Ceftriaxone,554.58
Ceftin,Cefuroxime,1,5,Cefuroxime,424.38
Celebrex,Celecoxib,1,4,Celecoxib,381.37
Keflex,Cephalexin,2,5,Cephalexin,347.39
Leukeran,Chlorambucil,0,6,Chlorambucil,304.24
Aralen,Chloroquine,2,7,Chloroquine,319.87
Thorazine,Chlorpromazine,0,5,Chlorpromazine,355.33
Cipro,Ciprofloxacin,1,4,Ciprofloxacin,331.34
Celexa,Citalopram,1,5,Citalopram,324.39
Cleocin,Clindamycin,1,6,Clindamycin,424.98
Anafranil,Clomipramine,1,4,Clomipramine,314.84
Klonopin,Clonazepam,1,5,Clonazepam,315.72
Plavix,Clopidogrel,2,4,Clopidogrel,321.82
Clozaril,Clozapine,1,5,Clozapine,326.83
Flexeril,Cyclobenzaprine,4,4,Cyclobenzaprine,311.87
